air_temp,clearsky_dni,clearsky_ghi,cloud_opacity,dni,ghi,precipitable_water,precipitation_rate,wind_direction_10m,wind_speed_10m,period_end,period
18,0,0,53.3,0,0,29.5,0.2,222,4.3,2017-09-06T00:05:00+00:00,PT5M
18,0,0,53.3,0,0,29.6,0.2,223,4.3,2017-09-06T00:10:00+00:00,PT5M
18,0,0,53.3,0,0,29.7,0.2,223,4.3,2017-09-06T00:15:00+00:00,PT5M
18,0,0,53.3,0,0,29.7,0.2,224,4.3,2017-09-06T00:20:00+00:00,PT5M
18,0,0,53.3,0,0,29.8,0.2,225,4.4,2017-09-06T00:25:00+00:00,PT5M
18,0,0,53.3,0,0,29.9,0.2,226,4.4,2017-09-06T00:30:00+00:00,PT5M
18,0,0,53.3,0,0,29.9,0.2,227,4.4,2017-09-06T00:35:00+00:00,PT5M
18,0,0,54.7,0,0,30,0.2,228,4.5,2017-09-06T00:40:00+00:00,PT5M
18,0,0,56.3,0,0,30.1,0.2,228,4.5,2017-09-06T00:45:00+00:00,PT5M
18,0,0,57.8,0,0,30.1,0.2,229,4.5,2017-09-06T00:50:00+00:00,PT5M
18,0,0,56.6,0,0,30.2,0.2,230,4.6,2017-09-06T00:55:00+00:00,PT5M
18,0,0,55,0,0,30.3,0.2,231,4.6,2017-09-06T01:00:00+00:00,PT5M
18,0,0,53.4,0,0,30.3,0.1,231,4.6,2017-09-06T01:05:00+00:00,PT5M
18,0,0,53.3,0,0,30.2,0.1,232,4.7,2017-09-06T01:10:00+00:00,PT5M
18,0,0,53.3,0,0,30.1,0.1,232,4.7,2017-09-06T01:15:00+00:00,PT5M
18,0,0,53.3,0,0,30,0.1,232,4.7,2017-09-06T01:20:00+00:00,PT5M
18,0,0,52.9,0,0,30,0.1,233,4.7,2017-09-06T01:25:00+00:00,PT5M
18,0,0,52.5,0,0,29.9,0.1,233,4.7,2017-09-06T01:30:00+00:00,PT5M
18,0,0,52.1,0,0,29.8,0.1,233,4.8,2017-09-06T01:35:00+00:00,PT5M
18,0,0,52.4,0,0,29.7,0.1,234,4.8,2017-09-06T01:40:00+00:00,PT5M
18,0,0,52.8,0,0,29.7,0.1,234,4.8,2017-09-06T01:45:00+00:00,PT5M
18,0,0,53.2,0,0,29.6,0.1,234,4.8,2017-09-06T01:50:00+00:00,PT5M
18,0,0,53.3,0,0,29.5,0.1,235,4.8,2017-09-06T01:55:00+00:00,PT5M
17,0,0,53.3,0,0,29.4,0.1,235,4.9,2017-09-06T02:00:00+00:00,PT5M
17,0,0,53.3,0,0,29.3,0.1,235,4.9,2017-09-06T02:05:00+00:00,PT5M
17,0,0,53.3,0,0,29.2,0.1,236,5,2017-09-06T02:10:00+00:00,PT5M
17,0,0,53.3,0,0,29.1,0.1,237,5,2017-09-06T02:15:00+00:00,PT5M
17,0,0,53.3,0,0,29,0.1,238,5.1,2017-09-06T02:20:00+00:00,PT5M
17,0,0,52.9,0,0,28.9,0.1,238,5.2,2017-09-06T02:25:00+00:00,PT5M
17,0,0,52.5,0,0,28.8,0.1,239,5.3,2017-09-06T02:30:00+00:00,PT5M
17,0,0,52.1,0,0,28.7,0.1,240,5.3,2017-09-06T02:35:00+00:00,PT5M
17,0,0,52.8,0,0,28.5,0.1,240,5.4,2017-09-06T02:40:00+00:00,PT5M
17,0,0,53.6,0,0,28.4,0.1,241,5.5,2017-09-06T02:45:00+00:00,PT5M
17,0,0,54.4,0,0,28.3,0.1,242,5.5,2017-09-06T02:50:00+00:00,PT5M
17,0,0,54.1,0,0,28.2,0.1,242,5.6,2017-09-06T02:55:00+00:00,PT5M
17,0,0,53.7,0,0,28.1,0.1,243,5.7,2017-09-06T03:00:00+00:00,PT5M
17,0,0,53.3,0,0,28,0.1,243,5.7,2017-09-06T03:05:00+00:00,PT5M
17,0,0,53.3,0,0,28,0.1,244,5.8,2017-09-06T03:10:00+00:00,PT5M
17,0,0,53.3,0,0,27.9,0.1,245,5.8,2017-09-06T03:15:00+00:00,PT5M
