air_temp,clearsky_dni,clearsky_ghi,cloud_opacity,dni,ghi,precipitable_water,precipitation_rate,wind_direction_10m,wind_speed_10m,period_end,period
19,0,0,93.6,0,0,33.7,1.5,35,1.6,2022-09-06T00:05:00+00:00,PT5M
18,0,0,93.6,0,0,33.6,1.5,39,1.6,2022-09-06T00:10:00+00:00,PT5M
18,0,0,92.8,0,0,33.5,1.5,43,1.6,2022-09-06T00:15:00+00:00,PT5M
18,0,0,92.8,0,0,33.3,1.5,47,1.6,2022-09-06T00:20:00+00:00,PT5M
18,0,0,92.8,0,0,33.2,1.5,51,1.6,2022-09-06T00:25:00+00:00,PT5M
18,0,0,91.6,0,0,33.1,1.5,56,1.6,2022-09-06T00:30:00+00:00,PT5M
18,0,0,83.9,0,0,32.9,1.5,60,1.6,2022-09-06T00:35:00+00:00,PT5M
17,0,0,85.2,0,0,32.8,1.5,64,1.6,2022-09-06T00:40:00+00:00,PT5M
17,0,0,76.5,0,0,32.6,1.5,68,1.7,2022-09-06T00:45:00+00:00,PT5M
17,0,0,73.1,0,0,32.5,1.5,72,1.7,2022-09-06T00:50:00+00:00,PT5M
17,0,0,64.4,0,0,32.4,1.5,75,1.7,2022-09-06T00:55:00+00:00,PT5M
17,0,0,57.9,0,0,32.2,1.5,79,1.8,2022-09-06T01:00:00+00:00,PT5M
17,0,0,29.1,0,0,32.2,0,84,1.8,2022-09-06T01:05:00+00:00,PT5M
17,0,0,0,0,0,32.2,0,91,1.9,2022-09-06T01:10:00+00:00,PT5M
17,0,0,0,0,0,32.1,0,97,1.9,2022-09-06T01:15:00+00:00,PT5M
17,0,0,0,0,0,32.1,0,103,2,2022-09-06T01:20:00+00:00,PT5M
17,0,0,0,0,0,32.1,0,109,2.1,2022-09-06T01:25:00+00:00,PT5M
16,0,0,0,0,0,32.1,0,114,2.2,2022-09-06T01:30:00+00:00,PT5M
16,0,0,0,0,0,32.1,0,118,2.3,2022-09-06T01:35:00+00:00,PT5M
16,0,0,0,0,0,32.1,0,122,2.5,2022-09-06T01:40:00+00:00,PT5M
16,0,0,0,0,0,32.1,0,126,2.6,2022-09-06T01:45:00+00:00,PT5M
16,0,0,0,0,0,32.1,0,129,2.8,2022-09-06T01:50:00+00:00,PT5M
16,0,0,0,0,0,32.1,0,131,3,2022-09-06T01:55:00+00:00,PT5M
16,0,0,0,0,0,32.1,0,134,3.2,2022-09-06T02:00:00+00:00,PT5M
16,0,0,0,0,0,31.9,0,135,3.2,2022-09-06T02:05:00+00:00,PT5M
16,0,0,0,0,0,31.6,0,134,3.2,2022-09-06T02:10:00+00:00,PT5M
16,0,0,0,0,0,31.3,0,134,3.1,2022-09-06T02:15:00+00:00,PT5M
16,0,0,0,0,0,31,0,133,3,2022-09-06T02:20:00+00:00,PT5M
16,0,0,0,0,0,30.7,0,132,3,2022-09-06T02:25:00+00:00,PT5M
16,0,0,0,0,0,30.5,0,132,2.9,2022-09-06T02:30:00+00:00,PT5M
16,0,0,0,0,0,30.2,0,131,2.8,2022-09-06T02:35:00+00:00,PT5M
16,0,0,19.8,0,0,29.9,0,130,2.8,2022-09-06T02:40:00+00:00,PT5M
16,0,0,32,0,0,29.6,0,130,2.7,2022-09-06T02:45:00+00:00,PT5M
16,0,0,0,0,0,29.3,0,129,2.7,2022-09-06T02:50:00+00:00,PT5M
16,0,0,61.3,0,0,29,0,128,2.6,2022-09-06T02:55:00+00:00,PT5M
16,0,0,68.4,0,0,28.7,0,127,2.5,2022-09-06T03:00:00+00:00,PT5M
16,0,0,52.1,0,0,28.4,0,128,2.5,2022-09-06T03:05:00+00:00,PT5M
16,0,0,59.1,0,0,28.2,0,129,2.5,2022-09-06T03:10:00+00:00,PT5M
16,0,0,27.6,0,0,27.9,0,131,2.4,2022-09-06T03:15:00+00:00,PT5M
16,0,0,0,0,0,27.7,0,133,2.4,2022-09-06T03:20:00+00:00,PT5M
16,0,0,0,0,0,27.4,0,135,2.4,2022-09-06T03:25:00+00:00,PT5M
16,0,0,0,0,0,27.2,0,137,2.4,2022-09-06T03:30:00+00:00,PT5M
16,0,0,0,0,0,26.9,0,139,2.4,2022-09-06T03:35:00+00:00,PT5M
16,0,0,0,0,0,26.7,0,140,2.4,2022-09-06T03:40:00+00:00,PT5M
16,0,0,0,0,0,26.4,0,142,2.3,2022-09-06T03:45:00+00:00,PT5M
16,0,0,0,0,0,26.2,0,144,2.3,2022-09-06T03:50:00+00:00,PT5M
16,0,0,0,0,0,25.9,0,146,2.3,2022-09-06T03:55:00+00:00,PT5M
16,0,0,0,0,0,25.7,0,148,2.3,2022-09-06T04:00:00+00:00,PT5M
16,0,0,0,0,0,25.5,0,150,2.3,2022-09-06T04:05:00+00:00,PT5M
16,0,0,0,0,0,25.5,0,151,2.3,2022-09-06T04:10:00+00:00,PT5M
16,0,0,0,0,0,25.4,0,152,2.3,2022-09-06T04:15:00+00:00,PT5M
15,0,0,0,0,0,25.4,0,153,2.3,2022-09-06T04:20:00+00:00,PT5M
15,0,0,0,0,0,25.3,0,154,2.3,2022-09-06T04:25:00+00:00,PT5M
15,0,0,0,0,0,25.2,0,156,2.2,2022-09-06T04:30:00+00:00,PT5M
15,0,0,0,0,0,25.2,0,157,2.2,2022-09-06T04:35:00+00:00,PT5M
15,0,0,0,0,0,25.1,0,158,2.2,2022-09-06T04:40:00+00:00,PT5M
15,0,0,0,0,0,25.1,0,159,2.2,2022-09-06T04:45:00+00:00,PT5M
15,0,0,0,0,0,25,0,161,2.2,2022-09-06T04:50:00+00:00,PT5M
15,0,0,11.7,0,0,24.9,0,162,2.2,2022-09-06T04:55:00+00:00,PT5M
15,0,0,16.6,0,0,24.9,0,163,2.2,2022-09-06T05:00:00+00:00,PT5M
15,0,0,19.8,0,0,24.9,0,165,2.2,2022-09-06T05:05:00+00:00,PT5M
15,6,5,16.6,0,4,24.9,0,165,2.2,2022-09-06T05:10:00+00:00,PT5M
16,22,11,11.7,0,10,25,0,166,2.3,2022-09-06T05:15:00+00:00,PT5M
16,50,18,0,50,18,25.1,0,167,2.3,2022-09-06T05:20:00+00:00,PT5M
16,90,26,0,90,26,25.2,0,168,2.4,2022-09-06T05:25:00+00:00,PT5M
16,142,35,0,142,35,25.2,0,169,2.4,2022-09-06T05:30:00+00:00,PT5M
16,205,44,0,205,44,25.3,0,170,2.5,2022-09-06T05:35:00+00:00,PT5M
16,254,54,0,254,54,25.4,0,171,2.5,2022-09-06T05:40:00+00:00,PT5M
16,287,64,0,287,64,25.4,0,171,2.6,2022-09-06T05:45:00+00:00,PT5M
16,318,75,0,318,75,25.5,0,172,2.6,2022-09-06T05:50:00+00:00,PT5M
